,0
540,운중동
541,대장동
542,석운동
543,하산운동
544,의정부동
545,호원동
546,장암동
547,신곡동
548,용현동
549,민락동
550,낙양동
551,자일동
552,금오동
553,가능동
554,녹양동
555,고산동
556,산곡동
557,안양동
558,석수동
559,박달동
560,비산동
561,관양동
562,평촌동
563,호계동
564,원미동
565,춘의동
566,도당동
567,약대동
568,소사동
569,역곡동
570,상동
571,소사본동
572,심곡본동
573,범박동
574,괴안동
575,송내동
576,옥길동
577,계수동
578,오정동
579,여월동
580,작동
581,원종동
582,고강동
583,삼정동
584,내동
585,광명동
586,철산동
587,하안동
588,소하동
589,노온사동
590,일직동
591,가학동
592,서정동
593,장당동
594,모곡동
595,칠괴동
596,칠원동
597,도일동
598,가재동
599,이충동
600,지산동
601,독곡동
602,신장동
603,평택동
604,통복동
605,군문동
606,유천동
607,합정동
608,비전동
609,동삭동
610,세교동
611,지제동
612,신대동
613,용이동
614,월곡동
615,청룡동
616,죽백동
617,팽성읍
618,객사리
619,추팔리
620,노와리
621,평궁리
622,신궁리
623,두리
624,신호리
625,근내리
626,석봉리
627,원정리
628,도두리
629,함정리
630,신대리
631,본정리
632,노양리
633,노성리
634,두정리
635,석근리
636,대사리
637,안정리
638,동창리
639,대추리
640,송화리
641,안중읍
642,안중리
643,학현리
644,금곡리
645,대반리
646,삼정리
647,용성리
648,덕우리
649,성해리
650,송담리
651,현화리
652,포승읍
653,내기리
654,도곡리
655,만호리
656,희곡리
657,신영리
658,방림리
659,석정리
660,홍원리
661,청북읍
662,현곡리
663,삼계리
664,고잔리
665,옥길리
666,후사리
667,토진리
668,백봉리
669,어연리
670,율북리
671,한산리
672,어소리
673,고렴리
674,진위면
675,봉남리
676,마산리
677,은산리
678,동천리
679,고현리
680,청호리
681,갈곶리
682,야막리
683,가곡리
684,견산리
685,하북리
686,신리
687,서탄면
688,금암리
689,사리
690,수월암리
691,내천리
692,마두리
693,회화리
694,적봉리
695,장등리
696,금각리
697,황구지리
698,고덕면
699,당현리
700,두릉리
701,문곡리
702,동청리
703,해창리
704,궁리
705,동고리
706,방축리
707,여염리
708,율포리
709,좌교리
710,오성면
711,숙성리
712,교포리
713,안화리
714,양교리
715,죽리
716,길음리
717,당거리
718,창내리
719,현덕면
720,도대리
721,운정리
722,화양리
723,황산리
724,인광리
725,덕목리
726,신왕리
727,대안리
728,기산리
729,권관리
730,장수리
731,지행동
732,생연동
733,광암동
734,걸산동
735,보산동
736,동두천동
737,안흥동
738,상봉암동
739,하봉암동
740,탑동동
741,상패동
742,일동
743,이동
744,사동
745,본오동
746,팔곡이동
747,양상동
748,부곡동
749,성포동
750,월피동
751,팔곡일동
752,건건동
753,사사동
754,수암동
755,장상동
756,장하동
757,고잔동
758,와동
759,신길동
760,성곡동
761,원시동
762,목내동
763,초지동
764,원곡동
765,선부동
766,대부동동
767,대부북동
768,대부남동
769,선감동
770,풍도동
771,화정동
772,주교동
773,원당동
774,신원동
775,원흥동
776,도내동
777,성사동
778,북한동
779,효자동
780,지축동
781,오금동
782,삼송동
783,동산동
784,용두동
785,벽제동
786,선유동
787,고양동
788,대자동
789,관산동
790,내유동
791,토당동
792,내곡동
793,강매동
794,행주내동
795,행주외동
796,신평동
797,행신동
798,화전동
799,현천동
