,Date,social_dst
214,2019-08-03,1.0
215,2019-08-04,1.0
216,2019-08-05,1.0
217,2019-08-06,1.0
218,2019-08-07,1.0
219,2019-08-08,1.0
220,2019-08-09,1.0
221,2019-08-10,1.0
222,2019-08-11,1.0
223,2019-08-12,1.0
224,2019-08-13,1.0
225,2019-08-14,1.0
226,2019-08-15,1.0
227,2019-08-16,1.0
228,2019-08-17,1.0
229,2019-08-18,1.0
230,2019-08-19,1.0
231,2019-08-20,1.0
232,2019-08-21,1.0
233,2019-08-22,1.0
234,2019-08-23,1.0
235,2019-08-24,1.0
236,2019-08-25,1.0
237,2019-08-26,1.0
238,2019-08-27,1.0
239,2019-08-28,1.0
240,2019-08-29,1.0
241,2019-08-30,1.0
242,2019-08-31,1.0
243,2019-09-01,1.0
244,2019-09-02,1.0
245,2019-09-03,1.0
246,2019-09-04,1.0
247,2019-09-05,1.0
248,2019-09-06,1.0
249,2019-09-07,1.0
250,2019-09-08,1.0
251,2019-09-09,1.0
252,2019-09-10,1.0
253,2019-09-11,1.0
254,2019-09-12,1.0
255,2019-09-13,1.0
256,2019-09-14,1.0
257,2019-09-15,1.0
258,2019-09-16,1.0
259,2019-09-17,1.0
260,2019-09-18,1.0
261,2019-09-19,1.0
262,2019-09-20,1.0
263,2019-09-21,1.0
264,2019-09-22,1.0
265,2019-09-23,1.0
266,2019-09-24,1.0
267,2019-09-25,1.0
268,2019-09-26,1.0
269,2019-09-27,1.0
270,2019-09-28,1.0
271,2019-09-29,1.0
272,2019-09-30,1.0
273,2019-10-01,1.0
274,2019-10-02,1.0
275,2019-10-03,1.0
276,2019-10-04,1.0
277,2019-10-05,1.0
278,2019-10-06,1.0
279,2019-10-07,1.0
280,2019-10-08,1.0
281,2019-10-09,1.0
282,2019-10-10,1.0
283,2019-10-11,1.0
284,2019-10-12,1.0
285,2019-10-13,1.0
286,2019-10-14,1.0
287,2019-10-15,1.0
288,2019-10-16,1.0
289,2019-10-17,1.0
290,2019-10-18,1.0
291,2019-10-19,1.0
292,2019-10-20,1.0
293,2019-10-21,1.0
294,2019-10-22,1.0
295,2019-10-23,1.0
296,2019-10-24,1.0
297,2019-10-25,1.0
298,2019-10-26,1.0
299,2019-10-27,1.0
300,2019-10-28,1.0
301,2019-10-29,1.0
302,2019-10-30,1.0
303,2019-10-31,1.0
304,2019-11-01,1.0
305,2019-11-02,1.0
306,2019-11-03,1.0
307,2019-11-04,1.0
308,2019-11-05,1.0
309,2019-11-06,1.0
310,2019-11-07,1.0
311,2019-11-08,1.0
312,2019-11-09,1.0
313,2019-11-10,1.0
314,2019-11-11,1.0
315,2019-11-12,1.0
316,2019-11-13,1.0
317,2019-11-14,1.0
318,2019-11-15,1.0
319,2019-11-16,1.0
320,2019-11-17,1.0
321,2019-11-18,1.0
322,2019-11-19,1.0
323,2019-11-20,1.0
324,2019-11-21,1.0
325,2019-11-22,1.0
326,2019-11-23,1.0
327,2019-11-24,1.0
328,2019-11-25,1.0
329,2019-11-26,1.0
330,2019-11-27,1.0
331,2019-11-28,1.0
332,2019-11-29,1.0
333,2019-11-30,1.0
334,2019-12-01,1.0
335,2019-12-02,1.0
336,2019-12-03,1.0
337,2019-12-04,1.0
338,2019-12-05,1.0
339,2019-12-06,1.0
340,2019-12-07,1.0
341,2019-12-08,1.0
342,2019-12-09,1.0
343,2019-12-10,1.0
344,2019-12-11,1.0
345,2019-12-12,1.0
346,2019-12-13,1.0
347,2019-12-14,1.0
348,2019-12-15,1.0
349,2019-12-16,1.0
350,2019-12-17,1.0
351,2019-12-18,1.0
352,2019-12-19,1.0
353,2019-12-20,1.0
354,2019-12-21,1.0
355,2019-12-22,1.0
356,2019-12-23,1.0
357,2019-12-24,1.0
358,2019-12-25,1.0
359,2019-12-26,1.0
360,2019-12-27,1.0
361,2019-12-28,1.0
362,2019-12-29,1.0
363,2019-12-30,1.0
364,2019-12-31,1.0
365,2020-01-01,1.0
366,2020-01-02,1.0
367,2020-01-03,1.0
368,2020-01-04,1.0
369,2020-01-05,1.0
370,2020-01-06,1.0
371,2020-01-07,1.0
372,2020-01-08,1.0
373,2020-01-09,1.0
374,2020-01-10,1.0
375,2020-01-11,1.0
376,2020-01-12,1.0
377,2020-01-13,1.0
378,2020-01-14,1.0
379,2020-01-15,1.0
380,2020-01-16,1.0
381,2020-01-17,1.0
382,2020-01-18,1.0
383,2020-01-19,1.0
384,2020-01-20,1.0
385,2020-01-21,1.0
386,2020-01-22,1.0
387,2020-01-23,1.0
388,2020-01-24,1.0
389,2020-01-25,1.0
390,2020-01-26,1.0
391,2020-01-27,1.0
392,2020-01-28,1.0
393,2020-01-29,1.0
394,2020-01-30,1.0
395,2020-01-31,1.0
396,2020-02-01,1.0
397,2020-02-02,1.0
398,2020-02-03,1.0
399,2020-02-04,1.0
400,2020-02-05,1.0
401,2020-02-06,1.0
402,2020-02-07,1.0
403,2020-02-08,1.0
404,2020-02-09,1.0
405,2020-02-10,1.0
406,2020-02-11,1.0
407,2020-02-12,1.0
408,2020-02-13,1.0
409,2020-02-14,1.0
410,2020-02-15,1.0
411,2020-02-16,1.0
412,2020-02-17,1.0
413,2020-02-18,1.0
414,2020-02-19,1.0
415,2020-02-20,1.0
416,2020-02-21,1.0
417,2020-02-22,1.0
418,2020-02-23,1.0
419,2020-02-24,1.0
420,2020-02-25,1.0
421,2020-02-26,1.0
422,2020-02-27,1.0
423,2020-02-28,1.0
424,2020-02-29,2.0
425,2020-03-01,2.0
426,2020-03-02,2.0
427,2020-03-03,2.0
428,2020-03-04,2.0
429,2020-03-05,2.0
430,2020-03-06,2.0
431,2020-03-07,2.0
432,2020-03-08,2.0
433,2020-03-09,2.0
434,2020-03-10,2.0
435,2020-03-11,2.0
436,2020-03-12,2.0
437,2020-03-13,2.0
438,2020-03-14,2.0
439,2020-03-15,2.0
440,2020-03-16,2.0
441,2020-03-17,2.0
442,2020-03-18,2.0
443,2020-03-19,2.0
444,2020-03-20,2.0
445,2020-03-21,2.0
446,2020-03-22,2.0
447,2020-03-23,2.0
448,2020-03-24,2.0
449,2020-03-25,2.0
450,2020-03-26,2.0
451,2020-03-27,2.0
452,2020-03-28,2.0
453,2020-03-29,2.0
454,2020-03-30,2.0
455,2020-03-31,2.0
456,2020-04-01,2.0
457,2020-04-02,2.0
458,2020-04-03,2.0
459,2020-04-04,2.0
460,2020-04-05,2.0
461,2020-04-06,2.0
462,2020-04-07,2.0
463,2020-04-08,2.0
464,2020-04-09,2.0
465,2020-04-10,2.0
466,2020-04-11,2.0
467,2020-04-12,2.0
468,2020-04-13,2.0
469,2020-04-14,2.0
470,2020-04-15,2.0
471,2020-04-16,2.0
472,2020-04-17,2.0
473,2020-04-18,2.0
474,2020-04-19,2.0
475,2020-04-20,2.0
476,2020-04-21,2.0
477,2020-04-22,2.0
478,2020-04-23,2.0
479,2020-04-24,2.0
480,2020-04-25,2.0
481,2020-04-26,2.0
482,2020-04-27,2.0
483,2020-04-28,2.0
484,2020-04-29,2.0
485,2020-04-30,2.0
486,2020-05-01,2.0
487,2020-05-02,2.0
488,2020-05-03,2.0
489,2020-05-04,2.0
490,2020-05-05,2.0
491,2020-05-06,1.0
492,2020-05-07,1.0
493,2020-05-08,1.0
494,2020-05-09,1.0
495,2020-05-10,1.0
496,2020-05-11,1.0
497,2020-05-12,1.0
498,2020-05-13,1.0
499,2020-05-14,1.0
500,2020-05-15,1.0
501,2020-05-16,1.0
502,2020-05-17,1.0
503,2020-05-18,1.0
504,2020-05-19,1.0
505,2020-05-20,1.0
506,2020-05-21,1.0
507,2020-05-22,1.0
508,2020-05-23,1.0
509,2020-05-24,1.0
510,2020-05-25,1.0
511,2020-05-26,1.0
512,2020-05-27,1.0
513,2020-05-28,1.0
514,2020-05-29,1.0
515,2020-05-30,1.0
516,2020-05-31,1.0
517,2020-06-01,1.0
518,2020-06-02,1.0
519,2020-06-03,1.0
520,2020-06-04,1.0
521,2020-06-05,1.0
522,2020-06-06,1.0
523,2020-06-07,1.0
524,2020-06-08,1.0
525,2020-06-09,1.0
526,2020-06-10,1.0
527,2020-06-11,1.0
528,2020-06-12,1.0
529,2020-06-13,1.0
530,2020-06-14,1.0
531,2020-06-15,1.0
532,2020-06-16,1.0
533,2020-06-17,1.0
534,2020-06-18,1.0
535,2020-06-19,1.0
536,2020-06-20,1.0
537,2020-06-21,1.0
538,2020-06-22,1.0
539,2020-06-23,1.0
540,2020-06-24,1.0
541,2020-06-25,1.0
542,2020-06-26,1.0
543,2020-06-27,1.0
544,2020-06-28,1.0
545,2020-06-29,1.0
546,2020-06-30,1.0
547,2020-07-01,1.0
548,2020-07-02,1.0
549,2020-07-03,1.0
550,2020-07-04,1.0
551,2020-07-05,1.0
552,2020-07-06,1.0
553,2020-07-07,1.0
554,2020-07-08,1.0
555,2020-07-09,1.0
556,2020-07-10,1.0
557,2020-07-11,1.0
558,2020-07-12,1.0
559,2020-07-13,1.0
560,2020-07-14,1.0
561,2020-07-15,1.0
562,2020-07-16,1.0
563,2020-07-17,1.0
564,2020-07-18,1.0
565,2020-07-19,1.0
566,2020-07-20,1.0
567,2020-07-21,1.0
568,2020-07-22,1.0
569,2020-07-23,1.0
570,2020-07-24,1.0
571,2020-07-25,1.0
572,2020-07-26,1.0
573,2020-07-27,1.0
574,2020-07-28,1.0
575,2020-07-29,1.0
576,2020-07-30,1.0
577,2020-07-31,1.0
578,2020-08-01,1.0
579,2020-08-02,1.0
580,2020-08-03,1.0
581,2020-08-04,1.0
582,2020-08-05,1.0
583,2020-08-06,1.0
584,2020-08-07,1.0
585,2020-08-08,1.0
586,2020-08-09,1.0
587,2020-08-10,1.0
588,2020-08-11,1.0
589,2020-08-12,1.0
590,2020-08-13,1.0
591,2020-08-14,1.0
592,2020-08-15,1.0
593,2020-08-16,2.0
594,2020-08-17,2.0
595,2020-08-18,2.0
596,2020-08-19,2.0
597,2020-08-20,2.0
598,2020-08-21,2.0
599,2020-08-22,2.0
600,2020-08-23,2.0
601,2020-08-24,2.0
602,2020-08-25,2.0
603,2020-08-26,2.0
604,2020-08-27,2.0
605,2020-08-28,2.0
606,2020-08-29,2.0
607,2020-08-30,2.0
608,2020-08-31,2.0
609,2020-09-01,2.0
610,2020-09-02,2.0
611,2020-09-03,2.0
612,2020-09-04,2.0
613,2020-09-05,2.0
614,2020-09-06,2.0
615,2020-09-07,2.0
616,2020-09-08,2.0
617,2020-09-09,2.0
618,2020-09-10,2.0
619,2020-09-11,2.0
620,2020-09-12,2.0
621,2020-09-13,2.0
622,2020-09-14,2.0
623,2020-09-15,2.0
624,2020-09-16,2.0
625,2020-09-17,2.0
626,2020-09-18,2.0
627,2020-09-19,2.0
628,2020-09-20,2.0
629,2020-09-21,2.0
630,2020-09-22,2.0
631,2020-09-23,2.0
632,2020-09-24,2.0
633,2020-09-25,2.0
634,2020-09-26,2.0
635,2020-09-27,2.0
636,2020-09-28,2.0
637,2020-09-29,2.0
638,2020-09-30,2.0
639,2020-10-01,2.0
640,2020-10-02,2.0
641,2020-10-03,2.0
642,2020-10-04,2.0
643,2020-10-05,2.0
644,2020-10-06,2.0
645,2020-10-07,2.0
646,2020-10-08,2.0
647,2020-10-09,2.0
648,2020-10-10,2.0
649,2020-10-11,2.0
650,2020-10-12,1.0
651,2020-10-13,1.0
652,2020-10-14,1.0
653,2020-10-15,1.0
654,2020-10-16,1.0
655,2020-10-17,1.0
656,2020-10-18,1.0
657,2020-10-19,1.0
658,2020-10-20,1.0
659,2020-10-21,1.0
660,2020-10-22,1.0
661,2020-10-23,1.0
662,2020-10-24,1.0
663,2020-10-25,1.0
664,2020-10-26,1.0
665,2020-10-27,1.0
666,2020-10-28,1.0
667,2020-10-29,1.0
668,2020-10-30,1.0
669,2020-10-31,1.0
670,2020-11-01,1.0
671,2020-11-02,1.0
672,2020-11-03,1.0
673,2020-11-04,1.0
674,2020-11-05,1.0
675,2020-11-06,1.0
676,2020-11-07,1.0
677,2020-11-08,1.0
678,2020-11-09,1.0
679,2020-11-10,1.0
680,2020-11-11,1.0
681,2020-11-12,1.0
682,2020-11-13,1.0
683,2020-11-14,1.0
684,2020-11-15,1.0
685,2020-11-16,1.0
686,2020-11-17,1.0
687,2020-11-18,1.0
688,2020-11-19,1.0
689,2020-11-20,1.0
690,2020-11-21,1.0
691,2020-11-22,1.0
692,2020-11-23,1.0
693,2020-11-24,2.0
694,2020-11-25,2.0
695,2020-11-26,2.0
696,2020-11-27,2.0
697,2020-11-28,2.0
698,2020-11-29,2.0
699,2020-11-30,2.0
700,2020-12-01,2.0
701,2020-12-02,2.0
702,2020-12-03,2.0
703,2020-12-04,2.0
704,2020-12-05,2.0
705,2020-12-06,2.0
706,2020-12-07,2.0
707,2020-12-08,2.0
708,2020-12-09,2.0
709,2020-12-10,2.0
710,2020-12-11,2.0
711,2020-12-12,2.0
712,2020-12-13,2.0
713,2020-12-14,2.0
714,2020-12-15,2.0
715,2020-12-16,2.0
716,2020-12-17,2.0
717,2020-12-18,2.0
718,2020-12-19,2.0
719,2020-12-20,2.0
720,2020-12-21,2.0
721,2020-12-22,2.0
722,2020-12-23,2.0
723,2020-12-24,2.0
724,2020-12-25,2.0
725,2020-12-26,2.0
726,2020-12-27,2.0
727,2020-12-28,2.0
728,2020-12-29,2.0
729,2020-12-30,2.0
730,2020-12-31,2.0
